pert_id,pert_iname,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,sd_score,positive_fraction,negative_fraction,reproducibility_score,tier,robust_rank,canonical_smiles,inchi_key,inchi_key_prefix,pubchem_cid,chembl_id,pref_name,max_phase,match_status,target_chembl_id,mechanism_of_action,action_type,disease_signature_genes,core_signature_genes,disease_up_genes,disease_down_genes
BRD-K71035033,masitinib,5,5,0,0.13946666630596513,0.17278545467439288,0.11412024659652918,0.36861141382912666,0.09723813714238996,1,0,0.13946666630596513,Tier 1 — Consistent 5/5,26,NA,NA,NA,NA,CHEMBL1908391,MASITINIB,3,exact_name_match,CHEMBL2742,Fibroblast growth factor receptor 3 inhibitor,INHIBITOR,454,10,214,240
BRD-K71035033,masitinib,5,5,0,0.13946666630596513,0.17278545467439288,0.11412024659652918,0.36861141382912666,0.09723813714238996,1,0,0.13946666630596513,Tier 1 — Consistent 5/5,26,NA,NA,NA,NA,CHEMBL1908391,MASITINIB,3,exact_name_match,CHEMBL1936,Stem cell growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K71035033,masitinib,5,5,0,0.13946666630596513,0.17278545467439288,0.11412024659652918,0.36861141382912666,0.09723813714238996,1,0,0.13946666630596513,Tier 1 — Consistent 5/5,26,NA,NA,NA,NA,CHEMBL1908391,MASITINIB,3,exact_name_match,CHEMBL2095189,Platelet-derived growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K78431006,crizotinib,5,5,1,0.13492042977449473,0.11106378431792004,-0.06090518646771308,0.28377631722584534,0.11819076015998828,1,0.2,0.13492042977449473,Tier 2 — Strong 4/5+,27,NA,NA,NA,NA,CHEMBL601719,CRIZOTINIB,4,exact_name_match,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K78431006,crizotinib,5,5,1,0.13492042977449473,0.11106378431792004,-0.06090518646771308,0.28377631722584534,0.11819076015998828,1,0.2,0.13492042977449473,Tier 2 — Strong 4/5+,27,NA,NA,NA,NA,CHEMBL601719,CRIZOTINIB,4,exact_name_match,CHEMBL4247,ALK tyrosine kinase receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K78431006,crizotinib,5,5,1,0.13492042977449473,0.11106378431792004,-0.06090518646771308,0.28377631722584534,0.11819076015998828,1,0.2,0.13492042977449473,Tier 2 — Strong 4/5+,27,NA,NA,NA,NA,CHEMBL601719,CRIZOTINIB,4,exact_name_match,CHEMBL3883330,EML4-ALK inhibitor,INHIBITOR,454,10,214,240
BRD-K78431006,crizotinib,5,5,1,0.13492042977449473,0.11106378431792004,-0.06090518646771308,0.28377631722584534,0.11819076015998828,1,0.2,0.13492042977449473,Tier 2 — Strong 4/5+,27,NA,NA,NA,NA,CHEMBL601719,CRIZOTINIB,4,exact_name_match,CHEMBL2111387,NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor,INHIBITOR,454,10,214,240
BRD-K78431006,crizotinib,5,5,1,0.13492042977449473,0.11106378431792004,-0.06090518646771308,0.28377631722584534,0.11819076015998828,1,0.2,0.13492042977449473,Tier 2 — Strong 4/5+,27,NA,NA,NA,NA,CHEMBL601719,CRIZOTINIB,4,exact_name_match,CHEMBL5568,Proto-oncogene tyrosine-protein kinase ROS inhibitor,INHIBITOR,454,10,214,240
BRD-K78431006,crizotinib,5,5,1,0.13492042977449473,0.11106378431792004,-0.06090518646771308,0.28377631722584534,0.11819076015998828,1,0.2,0.13492042977449473,Tier 2 — Strong 4/5+,27,NA,NA,NA,NA,CHEMBL601719,CRIZOTINIB,4,exact_name_match,CHEMBL2689,Macrophage-stimulating protein receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K55187425,ON-01910,5,3,2,0.2020918862282824,0.15596863797568597,-0.08113528733171052,0.3846344183268796,0.19459352062492496,0.6,0.4,0.12125513173696945,Tier 3 — Moderate 3/5+,28,NA,NA,NA,NA,CHEMBL2013119,RIGOSERTIB SODIUM,3,search_match_requires_review,NA,NA,NA,454,10,214,240
