"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.12286331731389,0.354,0.011,0,"15","CDH6"
0,5.07573170731649,0.411,0.015,0,"15","LGI4"
0,7.38523886197749,0.566,0.012,0,"16","FCN1"
0,6.42556837314145,0.285,0.005,0,"16","CD300E"
0,6.33276100364245,0.556,0.015,0,"16","LGALS2"
0,6.18410957545677,0.336,0.012,0,"16","EREG"
0,5.97954327481555,0.282,0.01,0,"16","APOBEC3A"
0,5.83678614832663,0.325,0.01,0,"16","CFP"
0,5.76331224721894,0.414,0.016,0,"16","CLEC10A"
0,5.6806170892022,0.284,0.018,0,"16","RP11-1143G9.4"
0,5.30365911381003,0.631,0.039,0,"16","IL1B"
0,5.028758861346,0.444,0.023,0,"16","FPR1"
0,4.90207115097907,0.29,0.016,0,"16","TREM1"
0,4.8758727858629,0.256,0.011,0,"16","LILRA2"
0,4.83037023396095,0.4,0.049,0,"16","G0S2"
0,4.72094940651793,0.932,0.11,0,"16","LYZ"
0,4.58714524883982,0.837,0.077,0,"16","LST1"
0,4.4733964912342,0.281,0.026,0,"16","LINC01272"
0,4.41513196158516,0.365,0.027,0,"16","CSF2RA"
0,4.38864938725862,0.451,0.031,0,"16","OLR1"
0,4.36724313077321,0.29,0.023,0,"16","C19orf38"
0,4.3108035244436,0.393,0.029,0,"16","CLEC4A"
0,6.03028511134415,0.511,0.02,0,"17","KCNJ8"
0,5.96731753916213,0.434,0.014,0,"17","ABCC9"
0,5.93878391517236,0.437,0.014,0,"17","FAM162B"
0,5.8661413718792,0.784,0.046,0,"17","RGS5"
0,5.53503793623119,0.513,0.018,0,"17","HIGD1B"
0,5.50018588663753,0.483,0.026,0,"17","CCDC102B"
0,5.34603002512154,0.525,0.047,0,"17","STEAP4"
0,5.32838014696055,0.538,0.023,0,"17","COX4I2"
0,5.02579686253917,0.256,0.011,0,"17","EBF2"
0,4.96121488656434,0.319,0.015,0,"17","PDE1A"
0,4.93830307460456,0.355,0.019,0,"17","GJC1"
0,4.84212698505006,0.354,0.017,0,"17","ENPEP"
0,4.76510437321077,0.305,0.014,0,"17","CDH6"
0,4.76297382187852,0.761,0.055,0,"17","NDUFA4L2"
0,4.68391021168165,0.293,0.024,0,"17","CYGB"
0,4.5948611353103,0.315,0.022,0,"17","COL5A3"
0,4.53482433568323,0.341,0.019,0,"17","LGI4"
0,4.5245441773595,0.342,0.026,0,"17","SSTR2"
0,4.44185894112722,0.485,0.045,0,"17","TPPP3"
0,4.42308673177858,0.382,0.03,0,"17","FAM13C"
0,8.41122789616602,0.476,0.007,0,"18","OXTR"
0,7.8544725970491,0.931,0.044,0,"18","KRT14"
0,7.56002177895737,0.452,0.007,0,"18","CALML3"
0,7.53569735817834,0.509,0.006,0,"18","COL17A1"
0,7.30324895215061,0.27,0.002,0,"18","DLK2"
0,7.16677105962029,0.351,0.011,0,"18","SYT8"
0,6.88371686365951,0.322,0.006,0,"18","TP63"
0,6.6105010202095,0.654,0.02,0,"18","TNS4"
0,6.43730625408187,0.913,0.048,0,"18","KRT17"
0,6.37359592060445,0.279,0.009,0,"18","IRX4"
0,6.35645630477323,0.885,0.043,0,"18","KRT5"
0,6.19412003711254,0.362,0.014,0,"18","TUBB2B"
0,6.1813616685904,0.632,0.029,0,"18","ACTG2"
0,5.85439791686149,0.635,0.03,0,"18","CNN1"
0,5.75009389613895,0.283,0.012,0,"18","FHOD3"
0,5.740411630097,0.639,0.037,0,"18","TRIM29"
0,5.72510540061824,0.402,0.013,0,"18","STAC2"
0,5.60083489580197,0.466,0.031,0,"18","CDH3"
0,5.59261151090028,0.867,0.095,0,"18","MYLK"
0,5.49896877019915,0.327,0.019,0,"18","LAMC2"
0,4.59914225152931,0.432,0.058,0,"19","SPP1"
0,4.58973181633394,0.376,0.015,0,"19","ESCO2"
0,4.35772070014148,0.407,0.02,0,"19","SHCBP1"
0,4.33868084666413,0.521,0.022,0,"19","GTSE1"
0,4.11045680260207,0.624,0.036,0,"19","TOP2A"
0,4.09835882275377,0.476,0.027,0,"19","UHRF1"
0,4.09740437870926,0.318,0.018,0,"19","DEPDC1"
0,4.09401848365735,0.44,0.023,0,"19","HMMR"
0,4.08919368988925,0.435,0.02,0,"19","CEP55"
0,4.04612583989808,0.735,0.043,0,"19","MKI67"
0,4.02881918866522,0.797,0.067,0,"19","TYMS"
0,4.01630304759336,0.351,0.016,0,"19","KIF11"
0,3.99425853871392,0.273,0.012,0,"19","CIT"
0,3.9725349869644,0.398,0.019,0,"19","NCAPG"
0,3.93379386948542,0.565,0.044,0,"19","RAD51AP1"
0,3.92943826303476,0.426,0.022,0,"19","FOXM1"
0,3.88481157404244,0.334,0.015,0,"19","CLEC5A"
0,3.88142940641465,0.63,0.037,0,"19","RRM2"
0,3.85700147481806,0.482,0.025,0,"19","CCNA2"
0,3.84610803383203,0.37,0.019,0,"19","CKAP2L"
0,12.8768077945616,0.261,0,0,"20","RP11-73G16.2"
0,11.6051894651588,0.667,0,0,"20","CLEC4C"
0,11.1107500976843,0.67,0.001,0,"20","PTCRA"
0,10.7372387607257,0.336,0.001,0,"20","SHD"
0,10.3004279792675,0.89,0.003,0,"20","LILRA4"
0,8.60328822473807,0.629,0.004,0,"20","SCT"
0,7.57374688113515,0.352,0.002,0,"20","RP11-117D22.2"
0,7.40853308449013,0.355,0.003,0,"20","PACSIN1"
0,7.00506427205161,0.676,0.01,0,"20","SMPD3"
