"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"WARS","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.72189964637461,6.04666649800622,22.513003491265,0.000128417536161066,0.0135758777989304,"TNBC_higher"
"RNASEH1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.73075548485159,5.08308059932447,22.4520133979854,0.000130163064065606,0.0135758777989304,"TNBC_higher"
"MOCOS","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.31949864072976,3.87137125869999,22.1802053532364,0.000130347047876571,0.0135758777989304,"TNBC_higher"
"COTL1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",4.14534804162753,6.66074129680415,22.3381907344549,0.000132540507219927,0.0135833863851379,"TNBC_higher"
"OXCT1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.6440612996329,3.75934412557402,21.9627848038683,0.00013274805382818,0.0135833863851379,"TNBC_higher"
"QRSL1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.80562778778174,5.15547853092979,22.2544034574751,0.000134341530684197,0.013626903960271,"TNBC_higher"
"MSMB","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-3.9237590337225,4.78350862137778,21.6486627686593,0.000135818966232635,0.01365800207848,"ER_Positive_higher"
"CASC8","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",5.84423081117328,2.71898052859652,20.9070102625333,0.000138020816975019,0.0137588239185228,"TNBC_higher"
"POLR2C","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.16976204857461,5.76725084025324,22.1987887171867,0.000139180559141508,0.0137588239185228,"TNBC_higher"
"HLA-DPA1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.90171382980556,5.98077253406354,22.0971889237318,0.000141774101209174,0.0137849427249279,"TNBC_higher"
"ITGB1BP1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.62019491133176,6.07428989463636,22.1207318376219,0.000141808240633635,0.0137849427249279,"TNBC_higher"
"PRDM1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.49532437066299,1.94711616266443,20.326543941178,0.000143092708205339,0.0137948466216139,"TNBC_higher"
"STMN1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.350707549945,7.68030317749967,21.9354960061508,0.000148291147447987,0.0140638273249215,"TNBC_higher"
"ARPC2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.42745737316526,8.25186263486253,21.932014246839,0.000148294107240921,0.0140638273249215,"TNBC_higher"
"UTP11L","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.48742081805678,5.23371678061762,21.8558125481275,0.000151068330766411,0.0142113877289531,"TNBC_higher"
"URGCP","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-1.26667713319756,3.67280707176005,21.6214174305054,0.000152927116595622,0.0142692712101172,"ER_Positive_higher"
"CIAPIN1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.4602171016636,4.59986479450136,21.7304256949865,0.000154684539220651,0.0142692712101172,"TNBC_higher"
"LMBRD2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-1.37694293790412,3.68889874066409,21.5428777950583,0.000155353402801962,0.0142692712101172,"ER_Positive_higher"
"VIM","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",5.99254040844499,10.3833311720606,21.6935901322959,0.000157400357564223,0.0143443372733333,"TNBC_higher"
"TROAP","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.96758619432552,1.91979475738703,19.9394879123392,0.000158900555451539,0.0143687982894744,"TNBC_higher"
"FAM26F","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",4.5006253890244,2.58527557706877,20.0180573916714,0.000162396726025097,0.0145159203910901,"TNBC_higher"
"LAMB3","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.87263482694794,3.55025655102764,20.3588715684093,0.000163643707945496,0.0145159203910901,"TNBC_higher"
"ETNK2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.36507595561235,4.08535087068747,21.2214577101748,0.000164260736530123,0.0145159203910901,"ER_Positive_higher"
"FABP5","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",5.17806606316919,7.55887830330686,21.4244373164679,0.000165670790722007,0.0145304494268588,"TNBC_higher"
"FAM214A","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.06859563098443,5.10044644740897,21.2864410936693,0.000172163299454843,0.0149872006577667,"ER_Positive_higher"
"YARS","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.7959530430112,5.19779785890454,21.2195538570192,0.000176525107839922,0.0151737746193118,"TNBC_higher"
"POLR3G","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.13636116006391,2.77353317775539,20.0027853306837,0.000176908131009551,0.0151737746193118,"TNBC_higher"
"RARRES1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",5.55130656006331,7.71462133584711,21.0675582542192,0.000180264934108702,0.0152121855749035,"TNBC_higher"
"CELSR1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-1.81240295334724,4.17308457165343,20.9513693569133,0.000182552110592351,0.0152121855749035,"ER_Positive_higher"
"CSNK2A2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.58869220504904,2.86479966904074,20.6321181992547,0.000182587016794982,0.0152121855749035,"TNBC_higher"
"B4GALNT4","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.00141498781737,2.48890159659665,19.9778996759447,0.000184333361483602,0.0152121855749035,"ER_Positive_higher"
"TPI1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.68175354280363,9.60906689533623,21.0448031070132,0.000184818233503971,0.0152121855749035,"TNBC_higher"
"NCF1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.04188926800556,1.75004393804186,19.5526536673053,0.000186657621001473,0.0152121855749035,"TNBC_higher"
