"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"PI3","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-7.13717344216669,9.70732638923787,21.928942576671,0.000318617781193855,0.0380611698049002,"Normal_higher"
"ATP8A1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",3.99138285862523,1.20503600371842,20.7146749941273,0.000322364682641988,0.0381454737205515,"TNBC_higher"
"CARHSP1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.8044881641973,8.07430936820374,21.7830761345506,0.000331356954135286,0.0388430866889616,"Normal_higher"
"TUBB3","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",5.49023310474434,3.86919297035636,21.5595599279723,0.000337430221502378,0.0391887710028178,"TNBC_higher"
"G0S2","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.3340817591196,5.26458249763153,21.0557925435641,0.00034854695261695,0.0401084809786643,"Normal_higher"
"TRAC","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",5.03690507031501,1.5451377932233,20.103605331571,0.000356177365353521,0.0405710565292819,"TNBC_higher"
"SSX2IP","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",2.24825211785922,3.28280693986513,21.3219922461924,0.000359035898489221,0.0405710565292819,"TNBC_higher"
"BRAT1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",1.65676634535991,4.06001586349557,21.2181415915825,0.000371301768359628,0.041582482861918,"TNBC_higher"
"NEURL3","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.65170332312425,4.10138196028847,19.3176806915724,0.000390735495391931,0.0433716399885044,"Normal_higher"
"CCR7","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",7.69878575294883,1.55433013687532,19.0240229476178,0.00039693976596898,0.0436738200399028,"TNBC_higher"
"TMA16","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-1.63385832145965,5.34033042610911,20.7363757624656,0.000411624268788626,0.044895680029702,"Normal_higher"
"SOD2","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.25969833030525,10.9138615902232,20.5956982036977,0.000425476489972959,0.046006479428714,"Normal_higher"
"EDEM3","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",1.4824944899364,3.88183369675466,20.4666589535016,0.000434899366281617,0.0466234423185498,"TNBC_higher"
"CTHRC1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",5.2474156699669,3.9012603797641,20.3411323493624,0.000441226924384641,0.0469009263775979,"TNBC_higher"
"ARHGAP15","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",6.45696034777317,1.5501583594902,18.1510270724897,0.000445686072368605,0.0469768101320959,"TNBC_higher"
"PCDH7","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",7.55354859907984,1.82721226528036,18.1500611724582,0.00045676218528757,0.0477430674171832,"TNBC_higher"
"R3HDM1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",1.8330515214025,4.02287615653267,20.1998142715192,0.000461856975825938,0.0478766284940888,"TNBC_higher"
"NSRP1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-1.95625460712053,5.79866088774598,20.1604986667689,0.000466933132001482,0.0480060842188081,"Normal_higher"
"ST8SIA6-AS1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",8.49777571606419,4.15374858093437,18.4539983334455,0.000479060841915148,0.0486150361751649,"TNBC_higher"
"TTC9","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-3.56390969919435,4.55757581846786,19.4572665650413,0.000495597184681924,0.0486150361751649,"Normal_higher"
"TCEA3","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",2.8171309216474,5.13487553849384,19.896566546809,0.000495925644752923,0.0486150361751649,"TNBC_higher"
"CD59","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-1.86178900881376,9.68426195856435,19.8890344965425,0.00049597445271237,0.0486150361751649,"Normal_higher"
"RIMS2","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",2.56710239345142,0.490723180576008,18.348407888725,0.000496610368434116,0.0486150361751649,"TNBC_higher"
"RP3-323P24.3","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",3.99387724801661,0.721915071588036,18.2449026781876,0.00049757810279502,0.0486150361751649,"TNBC_higher"
"ATP6V1E1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-1.40203316226241,6.31555612753096,19.8573173938777,0.000499987217300189,0.0486150361751649,"Normal_higher"
"TUBB2B","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.03263187147161,2.57774250645362,17.4057983126405,0.000516567272401793,0.0498407945979669,"Normal_higher"
