"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"CLIP4","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.22449471668528,3.29576505137155,51.6890096739166,5.16340297124572e-07,6.91849896334683e-05,"Normal_higher"
"ITGAL","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",4.8562360472529,0.0548161715946121,46.0875750557074,5.48050986725528e-07,7.23499316675053e-05,"ER_Positive_higher"
"SIRPA","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.59051524074887,2.52119482043879,53.3650225766726,5.54360361266348e-07,7.23499316675053e-05,"Normal_higher"
"TNFAIP6","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-10.2717693226052,5.66470985076365,51.8660795177281,5.54424078214374e-07,7.23499316675053e-05,"Normal_higher"
"LINC01235","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.88540111163929,2.88316940448472,52.969758890668,5.8665085938384e-07,7.5895426265287e-05,"Normal_higher"
"MMP7","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.76662858584756,8.56640574619474,54.9655766016835,6.5984498293745e-07,8.40180588642886e-05,"Normal_higher"
"NT5E","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.66820710196005,2.06441245703202,49.9515906172081,6.6063376730766e-07,8.40180588642886e-05,"Normal_higher"
"LAPTM5","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",5.97309245696949,0.96993444450413,47.699376333288,6.78306075535999e-07,8.55406661812499e-05,"ER_Positive_higher"
"EREG","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.14145625006736,2.22007414384116,51.402192295788,7.15254065446602e-07,8.94484813346429e-05,"Normal_higher"
"CRYAB","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.91302116382332,6.54986983804783,57.0199038358978,7.42540943800205e-07,9.1864827993546e-05,"Normal_higher"
"NDRG2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-4.73806149375017,6.96364205623627,59.375992290537,7.46818752263118e-07,9.1864827993546e-05,"Normal_higher"
"BID","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-2.52280399135489,5.85616415545417,59.0431940748899,7.9565191866143e-07,9.68322737575156e-05,"Normal_higher"
"AMN","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-4.81090877581602,0.489726678541119,49.1064770808818,8.00106746580391e-07,9.68322737575156e-05,"Normal_higher"
"B3GNT5","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.87406992431715,2.39919140788431,50.7654735074224,8.36254980632039e-07,0.00010039742795476,"Normal_higher"
"SERPINB5","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.2124914085358,2.89943718542335,49.108821948996,8.45000263324723e-07,0.000100642213902493,"Normal_higher"
"RNASE7","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-9.53823714261807,1.94611931579808,90.9460376429955,8.54993876225495e-07,0.000101030654334772,"Normal_higher"
"PDLIM7","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-2.32680868278226,4.54523060923207,57.7000453248186,8.6686231368487e-07,0.000101632833917725,"Normal_higher"
"GJB3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.97799266207337,2.82491358467712,50.1743417611459,8.74357931958076e-07,0.000101716972751123,"Normal_higher"
"RP11-20F24.2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",6.42384129547379,1.4882970943892,47.0798683118452,8.91752933556372e-07,0.000102942586722158,"ER_Positive_higher"
"LINC01564","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.42273252230736,1.52658868701592,48.730386175876,9.0048869750184e-07,0.000103157510560383,"Normal_higher"
"GABRP","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.5396696517414,4.98672998647961,47.3634838080095,9.50831988933735e-07,0.000108099512560065,"Normal_higher"
"POPDC3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.74283701702478,1.65565424144759,48.7700976314299,1.00705014458094e-06,0.000113630086614483,"Normal_higher"
"ORM2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.69696682431342,4.13451017924268,49.3664946118319,1.01683262482825e-06,0.000113877665677593,"Normal_higher"
"PDXK","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-2.61576351321094,5.95237805124289,56.643134734122,1.04193716265845e-06,0.000115381188314164,"Normal_higher"
"FAM212A","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-4.18126594738117,0.0732396789353846,47.6110494720677,1.05889947039627e-06,0.000115381188314164,"Normal_higher"
"ARRDC3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-3.31285137532645,5.49134776172793,56.1188071599037,1.05960392630109e-06,0.000115381188314164,"Normal_higher"
"EGR1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",4.27541344582232,8.20141237593867,56.4586265148231,1.06101179365327e-06,0.000115381188314164,"ER_Positive_higher"
"IL34","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.76430317515272,3.35759249733456,47.328728897014,1.1079677986909e-06,0.000119463293113561,"Normal_higher"
"SOX10","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.34196018050632,2.78864877052128,46.9597921468115,1.1144706494235e-06,0.000119463293113561,"Normal_higher"
"ESR1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",5.80040809057224,7.18970173483637,55.3649933784838,1.20985189089066e-06,0.000128134900682374,"ER_Positive_higher"
"PLD1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-3.57026877243077,1.62772936572497,46.3722633244235,1.21244458565317e-06,0.000128134900682374,"Normal_higher"
"BATF3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-4.83433901508955,1.65334016141437,47.8682702173758,1.24282022044405e-06,0.000130426594742684,"Normal_higher"
