pert_id,pert_iname,cell_lines_tested.x,median_cellline_score,mean_cellline_score,best_cellline_score,worst_cellline_score,compound_rank,cell_lines_tested.y,positive_cell_lines,negative_cell_lines,consistent_reversal,robust_rank
BRD-K72895815,SSR-69071,1,0.4485563256120425,0.4485563256120425,0.4485563256120425,0.4485563256120425,137,1,1,0,TRUE,137
BRD-A25416824,BRD-A25416824,1,0.4465438569699509,0.4465438569699509,0.4465438569699509,0.4465438569699509,139,1,1,0,TRUE,138
BRD-K28366633,BRD-K28366633,1,0.446158799005487,0.446158799005487,0.446158799005487,0.446158799005487,140,1,1,0,TRUE,139
BRD-K44273375,tolnaftate,1,0.44611817019328204,0.44611817019328204,0.44611817019328204,0.44611817019328204,141,1,1,0,TRUE,140
BRD-K03339442,BRD-K03339442,1,0.4459572868232997,0.4459572868232997,0.4459572868232997,0.4459572868232997,142,1,1,0,TRUE,141
BRD-K70646792,BRD-K70646792,1,0.44550682237501005,0.44550682237501005,0.44550682237501005,0.44550682237501005,143,1,1,0,TRUE,142
BRD-K09436313,prostaglandin,1,0.44512067731381855,0.44512067731381855,0.44512067731381855,0.44512067731381855,144,1,1,0,TRUE,143
BRD-K82971429,BRD-K82971429,1,0.4450592605650027,0.4450592605650027,0.4450592605650027,0.4450592605650027,145,1,1,0,TRUE,144
BRD-K17140735,SCH-79797,1,0.44490674532243635,0.44490674532243635,0.44490674532243635,0.44490674532243635,146,1,1,0,TRUE,145
BRD-A50774520,CVF-SUMO-11,1,0.4441543928149093,0.4441543928149093,0.4441543928149093,0.4441543928149093,147,1,1,0,TRUE,146
BRD-K41903098,diphenoxylate,1,0.44413128022129006,0.44413128022129006,0.44413128022129006,0.44413128022129006,148,1,1,0,TRUE,147
BRD-K08982647,BRD-K08982647,1,0.44378523005720694,0.44378523005720694,0.44378523005720694,0.44378523005720694,149,1,1,0,TRUE,148
BRD-K49630153,BRD-K49630153,1,0.4428195985391603,0.4428195985391603,0.4428195985391603,0.4428195985391603,150,1,1,0,TRUE,149
BRD-K17497770,butein,1,0.4425410341526304,0.4425410341526304,0.4425410341526304,0.4425410341526304,151,1,1,0,TRUE,150
BRD-K69888333,BRD-K69888333,1,0.4417651968433622,0.4417651968433622,0.4417651968433622,0.4417651968433622,152,1,1,0,TRUE,151
BRD-K28610502,RAN-05,1,0.441635662126753,0.441635662126753,0.441635662126753,0.441635662126753,153,1,1,0,TRUE,152
BRD-A10715913,sulpiride,1,0.44151024705245256,0.44151024705245256,0.44151024705245256,0.44151024705245256,154,1,1,0,TRUE,153
